,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
10752,hihicked,N,8,"['hi', 'hi', 'ck', 'e', 'd']",4,0.38
10753,hihicks,N,7,"['hi', 'hi', 'ck', 's']",3,0.43
10754,hik,N,3,"['hi', 'k']",1,0.33
10755,hikeer,N,6,"['hi', 'k', 'e', 'er']",3,0.33
10756,hikemate,N,8,"['hi', 'k', 'e', 'ma', 't', 'e']",5,0.25
10757,hiled,N,5,"['hi', 'le', 'd']",2,0.4
10758,hilk,N,4,"['hi', 'l', 'k']",2,0.25
10759,hilkin,N,6,"['hi', 'l', 'k', 'in']",3,0.33
10760,hilkof,N,6,"['hi', 'l', 'k', 'of']",3,0.33
10761,hillecks,N,8,"['hi', 'l', 'le', 'ck', 's']",4,0.38
10762,hillow,N,6,"['hi', 'l', 'lo', 'w']",3,0.33
10763,hillwade,N,8,"['hi', 'l', 'l', 'w', 'a', 'de']",5,0.25
10764,hillwades,N,9,"['hi', 'l', 'l', 'w', 'a', 'de', 's']",6,0.22
10765,hilm,N,4,"['hi', 'l', 'm']",2,0.25
10766,hilmings,N,8,"['hi', 'l', 'm', 'ing', 's']",4,0.38
10767,hilmless,N,8,"['hi', 'l', 'm', 'les', 's']",4,0.38
10768,hilnet,N,6,"['hi', 'l', 'n', 'e', 't']",4,0.17
10769,hilnets,N,7,"['hi', 'l', 'n', 'e', 't', 's']",5,0.14
10770,hilon,N,5,"['hi', 'l', 'on']",2,0.4
10771,hilons,N,6,"['hi', 'l', 'on', 's']",3,0.33
10772,hiltes,N,6,"['hi', 'l', 't', 'e', 's']",4,0.17
10773,hilting,N,7,"['hi', 'l', 't', 'ing']",3,0.43
10774,himble,N,6,"['hi', 'm', 'b', 'le']",3,0.33
10775,himbles,N,7,"['hi', 'm', 'b', 'les']",3,0.43
10776,himbling,N,8,"['hi', 'm', 'b', 'l', 'ing']",4,0.38
10777,himeage,N,7,"['hi', 'me', 'age']",2,0.57
10778,himeful,N,7,"['hi', 'me', 'f', 'u', 'l']",4,0.29
10779,himing,N,6,"['hi', 'm', 'ing']",2,0.5
10780,himning,N,7,"['hi', 'm', 'n', 'ing']",3,0.43
10781,himp,N,4,"['h', 'imp']",1,0.5
10782,himps,N,5,"['h', 'imp', 's']",2,0.4
10783,himralf,N,7,"['hi', 'm', 'r', 'al', 'f']",4,0.29
10784,hince,N,5,"['h', 'in', 'ce']",2,0.4
10785,hincemen,N,8,"['h', 'in', 'ce', 'men']",3,0.5
10786,hinched,N,7,"['h', 'in', 'che', 'd']",3,0.43
10787,hinchers,N,8,"['h', 'in', 'ch', 'er', 's']",4,0.38
10788,hinching,N,8,"['h', 'in', 'ch', 'ing']",3,0.5
10789,hinchnen,N,8,"['h', 'in', 'ch', 'n', 'en']",4,0.38
10790,hincrands,N,9,"['h', 'in', 'c', 'r', 'and', 's']",5,0.33
10791,hinet,N,5,"['h', 'in', 'e', 't']",3,0.2
10792,hinna,N,5,"['h', 'in', 'n', 'a']",3,0.2
10793,hinned,N,6,"['h', 'in', 'n', 'e', 'd']",4,0.17
10794,hino,N,4,"['hi', 'no']",1,0.5
10795,hintys,N,6,"['h', 'in', 't', 'y', 's']",4,0.17
10796,hiot,N,4,"['hi', 'o', 't']",2,0.25
10797,hipes,N,5,"['hi', 'p', 'e', 's']",3,0.2
10798,hipline,N,7,"['hi', 'p', 'l', 'in', 'e']",4,0.29
10799,hipping,N,7,"['hi', 'p', 'p', 'ing']",3,0.43
10800,hiq,N,3,"['hi', 'q']",1,0.33
10801,hireown,N,7,"['hi', 're', 'own']",2,0.57
10802,hireround,N,9,"['hi', 're', 'round']",2,0.67
10803,hirfote,N,7,"['hi', 'r', 'f', 'o', 't', 'e']",5,0.14
10804,hirks,N,5,"['hi', 'r', 'k', 's']",3,0.2
10805,hirl,N,4,"['hi', 'r', 'l']",2,0.25
10806,hirr,N,4,"['hi', 'r', 'r']",2,0.25
10807,hirrs,N,5,"['hi', 'r', 'r', 's']",3,0.2
10808,hirtare,N,7,"['hi', 'r', 'tar', 'e']",3,0.43
10809,hirthrows,N,9,"['hi', 'r', 'th', 'r', 'o', 'w', 's']",6,0.22
10810,hirtic,N,6,"['hi', 'r', 'tic']",2,0.5
10811,hirtor,N,6,"['hi', 'r', 't', 'or']",3,0.33
10812,hirtored,N,8,"['hi', 'r', 'to', 're', 'd']",4,0.38
10813,hisa,N,4,"['his', 'a']",1,0.5
10814,hise,N,4,"['his', 'e']",1,0.5
10815,hiser,N,5,"['his', 'er']",1,0.6
10816,hished,N,6,"['his', 'he', 'd']",2,0.5
10817,hishier,N,7,"['his', 'hi', 'er']",2,0.57
10818,hisk,N,4,"['his', 'k']",1,0.5
10819,hispers,N,7,"['his', 'per', 's']",2,0.57
10820,hissload,N,8,"['his', 's', 'lo', 'a', 'd']",4,0.38
10821,histcat,N,7,"['his', 't', 'ca', 't']",3,0.43
10822,histcrow,N,8,"['his', 't', 'cro', 'w']",3,0.5
10823,hister,N,6,"['his', 'ter']",1,0.67
10824,hists,N,5,"['his', 't', 's']",2,0.4
10825,hitchhell,N,9,"['hi', 't', 'ch', 'he', 'l', 'l']",5,0.33
10826,hitchkikes,N,10,"['hi', 't', 'ch', 'k', 'ik', 'e', 's']",6,0.3
10827,hitem,N,5,"['hi', 't', 'e', 'm']",3,0.2
10828,hitpes,N,6,"['hi', 't', 'p', 'e', 's']",4,0.17
10829,hitted,N,6,"['hi', 't', 't', 'e', 'd']",4,0.17
10830,hitten,N,6,"['hi', 't', 't', 'en']",3,0.33
10831,hitty,N,5,"['hi', 't', 't', 'y']",3,0.2
10832,hivies,N,6,"['hi', 'vi', 'e', 's']",3,0.33
10833,hixers,N,6,"['hi', 'x', 'er', 's']",3,0.33
10834,hixing,N,6,"['hi', 'x', 'ing']",2,0.5
10835,hiy,N,3,"['hi', 'y']",1,0.33
10836,hized,N,5,"['hi', 'ze', 'd']",2,0.4
